organization,occurredAt,customerId,customerName,serviceLocationId,serviceLocationDescription,containerId,containerDescription,containerContentType,containerCubicYards,level,wasEmptied,emptyOccurredAt,levelAtEmpty,latitude,longitude,positionAccuracy,imageUrl
universityofmaryland,2020-03-14T17:56:20.336Z,,University of Maryland,03,Denton Hall,Z1Y5KFA5H3NA,04,refuse,6,15,f,,,38.992366,-76.950561,16,https://images.compology.com/1/raw_device_data/ba199eec-2cc7-4277-8299-391ff9011066
universityofmaryland,2020-03-14T17:57:01.913Z,,University of Maryland,05,UM Technology Ventures,7NGF1MRE6SKT,10,refuse,6,45,f,,,38.9794,-76.925537,24,https://images.compology.com/1/raw_device_data/20c8d2d5-c3ce-498c-93cc-3cf7e3263d4c
universityofmaryland,2020-03-14T17:57:16.031Z,,University of Maryland,02,Van Munching Hall,K0V7D3VHWHMN,06,refuse,6,0,f,,,38.983802,-76.947998,25,https://images.compology.com/1/raw_device_data/cb5fa76b-d246-493b-97f9-b2f87d4bdd80
universityofmaryland,2020-03-14T17:57:20.947Z,,University of Maryland,01,Gosset Football Teamhouse,J6MMBE75XVYA,01,recycle,8,25,f,,,38.990219,-76.945854,15,https://images.compology.com/1/raw_device_data/3f5977e8-8bd6-42b9-ae75-fcb0bf763686
universityofmaryland,2020-03-14T17:57:21.592Z,,University of Maryland,03,Denton Hall,E5RGSTA85A03,03,recycle,8,,f,,,38.992351,-76.950584,16,https://images.compology.com/1/raw_device_data/82bed310-b573-48b8-8272-be8b5e165a21
universityofmaryland,2020-03-14T17:57:31.883Z,,University of Maryland,04,Patapsco Building,TBCCR5C8TCBR,08,refuse,8,40,f,,,38.976444,-76.925445,14,https://images.compology.com/1/raw_device_data/eabc51d5-02fa-42a8-b9e8-1e4287c53c36
universityofmaryland,2020-03-14T17:57:41.574Z,,University of Maryland,04,Patapsco Building,QK633SDAVXXC,07,recycle,8,5,f,,,38.976657,-76.925437,15,https://images.compology.com/1/raw_device_data/1868f2d8-6f6e-41f8-91c0-1c948bd5c681
universityofmaryland,2020-03-14T17:58:45.171Z,,University of Maryland,01,Gosset Football Teamhouse,PRP9VRTJQT8V,02,refuse,6,0,f,,,38.990116,-76.94564,13,https://images.compology.com/1/raw_device_data/f1731792-6b6f-4e91-876a-afbe9e9d50c2
universityofmaryland,2020-03-14T18:01:27.264Z,,University of Maryland,05,UM Technology Ventures,DM5S9RVP4WFG,09,recycle,8,25,f,,,38.979442,-76.925537,16,https://images.compology.com/1/raw_device_data/de23d044-31c3-4c71-8d2c-6f1e0a5a7626
universityofmaryland,2020-03-14T22:35:46.703Z,,University of Maryland,03,Denton Hall,Z1Y5KFA5H3NA,04,refuse,6,15,f,,,38.992416,-76.950744,13,https://images.compology.com/1/raw_device_data/0bd0f9a4-e803-4932-8dc9-bb65d65dbb19
universityofmaryland,2020-03-14T22:37:03.190Z,,University of Maryland,05,UM Technology Ventures,DM5S9RVP4WFG,09,recycle,8,25,f,,,38.979385,-76.925628,11,https://images.compology.com/1/raw_device_data/f49595ed-06d3-488e-9c61-c7ed269f3c7e
universityofmaryland,2020-03-14T22:37:29.731Z,,University of Maryland,03,Denton Hall,E5RGSTA85A03,03,recycle,8,,f,,,38.992298,-76.950714,25,https://images.compology.com/1/raw_device_data/98736b54-a54b-48dd-89d2-3a5f8cd98f7e
universityofmaryland,2020-03-14T22:40:02.027Z,,University of Maryland,04,Patapsco Building,QK633SDAVXXC,07,recycle,8,15,f,,,38.976341,-76.925636,23,https://images.compology.com/1/raw_device_data/1e5f42ad-b8ec-4d2d-8983-28f58477087e
universityofmaryland,2020-03-14T22:40:05.906Z,,University of Maryland,01,Gosset Football Teamhouse,J6MMBE75XVYA,01,recycle,8,25,f,,,38.990211,-76.945808,29,https://images.compology.com/1/raw_device_data/671cfcbc-ac96-44f5-b3f6-d89bf5d66cf2
universityofmaryland,2020-03-14T22:40:27.818Z,,University of Maryland,05,UM Technology Ventures,7NGF1MRE6SKT,10,refuse,6,35,f,,,38.979434,-76.925827,21,https://images.compology.com/1/raw_device_data/71ef9bc9-e8a0-4995-88db-00b095311664
universityofmaryland,2020-03-14T22:40:30.189Z,,University of Maryland,04,Patapsco Building,TBCCR5C8TCBR,08,refuse,8,35,f,,,38.976356,-76.925315,21,https://images.compology.com/1/raw_device_data/0c094c77-96a2-4def-ba96-8fdcc2d4282b
universityofmaryland,2020-03-14T22:40:37.398Z,,University of Maryland,01,Gosset Football Teamhouse,PRP9VRTJQT8V,02,refuse,6,0,f,,,38.990154,-76.945739,11,https://images.compology.com/1/raw_device_data/34304a2d-e9d1-448f-a509-49b64d57a362
universityofmaryland,2020-03-14T23:40:20.600Z,,University of Maryland,02,Van Munching Hall,K0V7D3VHWHMN,06,refuse,6,,f,,,38.983413,-76.948242,24,https://images.compology.com/1/raw_device_data/a22841a3-499e-4780-9947-835b3ae47621
universityofmaryland,2020-03-15T02:45:35.870Z,,University of Maryland,01,Gosset Football Teamhouse,PRP9VRTJQT8V,02,refuse,6,0,f,,,38.990184,-76.945663,13,https://images.compology.com/1/raw_device_data/69d79009-a7f4-4ef9-b16d-890125889766
universityofmaryland,2020-03-15T02:45:42.070Z,,University of Maryland,04,Patapsco Building,QK633SDAVXXC,07,recycle,8,10,f,,,38.976505,-76.925445,22,https://images.compology.com/1/raw_device_data/5827e6fd-175e-4ee3-88fe-572139841c4a
universityofmaryland,2020-03-15T02:46:10.091Z,,University of Maryland,05,UM Technology Ventures,DM5S9RVP4WFG,09,recycle,8,15,f,,,38.979354,-76.925544,16,https://images.compology.com/1/raw_device_data/68970a23-dcb1-410a-9a00-dbd9ef6b28bd
universityofmaryland,2020-03-15T02:46:26.848Z,,University of Maryland,04,Patapsco Building,TBCCR5C8TCBR,08,refuse,8,35,f,,,38.976459,-76.925407,22,https://images.compology.com/1/raw_device_data/64197833-1bab-4e2b-8cc1-e0369cb776b6
