organization,occurredAt,customerId,customerName,serviceLocationId,serviceLocationDescription,containerId,containerDescription,containerContentType,containerCubicYards,level,wasEmptied,emptyOccurredAt,levelAtEmpty,latitude,longitude,positionAccuracy,imageUrl
universityofmaryland,2020-02-25T17:05:50.790Z,,University of Maryland,2.0,Van Munching Hall,K0V7D3VHWHMN,6,refuse,6,2.0,,,,38.983604,-76.947868,7.4,https://images.compology.com/1/raw_device_data/9be0485c-6ef7-41ac-ba40-35c578d6fb6a
universityofmaryland,2020-02-25T17:07:10.642Z,,University of Maryland,1.0,Gosset Football Teamhouse,J6MMBE75XVYA,1,recycle,8,5.0,,,,38.990074,-76.945716,8.8,https://images.compology.com/1/raw_device_data/5ee542f7-529c-4aef-b40f-8057655bc4ea
universityofmaryland,2020-02-25T17:07:28.666Z,,University of Maryland,5.0,UM Technology Ventures,7NGF1MRE6SKT,10,refuse,6,5.0,,,,38.979389000000005,-76.925476,15.0,https://images.compology.com/1/raw_device_data/f03b058a-5b5b-48c4-947b-992ec92e4971
universityofmaryland,2020-02-25T17:08:14.018Z,,University of Maryland,3.0,Denton Hall,E5RGSTA85A03,3,recycle,8,40.0,,,,38.992424,-76.95047,7.4,https://images.compology.com/1/raw_device_data/3514566c-0c74-4609-91cf-a4c5d73708a7
universityofmaryland,2020-02-25T17:08:59.229Z,,University of Maryland,4.0,Patapsco Building,TBCCR5C8TCBR,8,refuse,8,0.0,,,,38.976711,-76.925033,5.5,https://images.compology.com/1/raw_device_data/5b4f3137-8c99-4962-ac5c-51d5c2c3658e
universityofmaryland,2020-02-25T17:09:43.186Z,,University of Maryland,3.0,Denton Hall,Z1Y5KFA5H3NA,4,refuse,6,100.0,,,,38.992366,-76.950599,5.4,https://images.compology.com/1/raw_device_data/54c74b11-956e-4a1f-98f9-23bebf7336f4
universityofmaryland,2020-02-25T17:10:06.877Z,,University of Maryland,5.0,UM Technology Ventures,DM5S9RVP4WFG,9,recycle,8,55.0,,,,38.979415,-76.92540699999999,7.5,https://images.compology.com/1/raw_device_data/582741dc-2c6d-4101-ac79-fc5353587e6e
universityofmaryland,2020-02-25T17:10:59.460Z,,University of Maryland,4.0,Patapsco Building,QK633SDAVXXC,7,recycle,8,50.0,,,,38.976554,-76.925453,6.5,https://images.compology.com/1/raw_device_data/1810ba14-0a17-433b-a228-dfeab8a00644
universityofmaryland,2020-02-25T17:11:42.024Z,,University of Maryland,1.0,Gosset Football Teamhouse,PRP9VRTJQT8V,2,refuse,6,95.0,,,,38.990146,-76.945701,7.1,https://images.compology.com/1/raw_device_data/21b57d77-cd32-461c-9d87-f5e1fe52b1c0
universityofmaryland,2020-02-25T17:37:31.419Z,,University of Maryland,3.0,Denton Hall,Z1Y5KFA5H3NA,4,refuse,6,97.0,f,,,38.992374,-76.950576,11.0,https://images.compology.com/1/raw_device_data/cd11edb4-eb4b-4a0f-86cf-b9081f3a38d9
universityofmaryland,2020-02-25T17:38:13.662Z,,University of Maryland,5.0,UM Technology Ventures,DM5S9RVP4WFG,9,recycle,8,60.0,f,,,38.979309,-76.925476,4.0,https://images.compology.com/1/raw_device_data/880c1c28-86f7-4543-a110-d41a43910cc7
universityofmaryland,2020-02-25T17:38:19.166Z,,University of Maryland,3.0,Denton Hall,E5RGSTA85A03,3,recycle,8,45.0,f,,,38.992424,-76.95058399999999,17.0,https://images.compology.com/1/raw_device_data/d1501452-05c3-4731-9a6f-56b0a235fa9f
universityofmaryland,2020-02-25T17:38:52.728Z,,University of Maryland,5.0,UM Technology Ventures,7NGF1MRE6SKT,10,refuse,6,5.0,f,,,38.979194,-76.925674,13.0,https://images.compology.com/1/raw_device_data/7f295fd8-a807-4bf3-9ed7-b0e019fabc55
universityofmaryland,2020-02-25T17:40:14.085Z,,University of Maryland,1.0,Gosset Football Teamhouse,J6MMBE75XVYA,1,recycle,8,5.0,f,,,38.990127,-76.94577,4.3,https://images.compology.com/1/raw_device_data/0ba38507-530a-4f01-9001-a00afe273de0
universityofmaryland,2020-02-25T17:40:22.574Z,,University of Maryland,4.0,Patapsco Building,QK633SDAVXXC,7,recycle,8,45.0,f,,,38.976493,-76.926071,30.0,https://images.compology.com/1/raw_device_data/1d3bf0e9-4e91-4bce-91ea-4238dbaa7ae9
universityofmaryland,2020-02-25T17:40:29.957Z,,University of Maryland,2.0,Van Munching Hall,K0V7D3VHWHMN,6,refuse,6,2.0,f,,,38.98368,-76.947898,8.1,https://images.compology.com/1/raw_device_data/7e344da3-857f-4408-acd1-24dec41343d7
universityofmaryland,2020-02-25T17:40:58.725Z,,University of Maryland,4.0,Patapsco Building,TBCCR5C8TCBR,8,refuse,8,0.0,f,,,38.976504999999996,-76.92532299999999,8.5,https://images.compology.com/1/raw_device_data/819c5199-2a99-4077-8118-a98d9a06584f
