organization,occurredAt,customerId,customerName,serviceLocationId,serviceLocationDescription,containerId,containerDescription,containerContentType,containerCubicYards,level,wasEmptied,emptyOccurredAt,levelAtEmpty,latitude,longitude,positionAccuracy,imageUrl
universityofmaryland,2020-02-25T17:05:50.790Z,,University of Maryland,02,Van Munching Hall,K0V7D3VHWHMN,06,refuse,6,2,,,,38.983604,-76.947868,7.4,https://images.compology.com/1/raw_device_data/9be0485c-6ef7-41ac-ba40-35c578d6fb6a
universityofmaryland,2020-02-25T17:07:10.642Z,,University of Maryland,01,Gosset Football Teamhouse,J6MMBE75XVYA,01,recycle,8,5,,,,38.990074,-76.945716,8.8,https://images.compology.com/1/raw_device_data/5ee542f7-529c-4aef-b40f-8057655bc4ea
universityofmaryland,2020-02-25T17:07:28.666Z,,University of Maryland,05,UM Technology Ventures,7NGF1MRE6SKT,10,refuse,6,5,,,,38.979389,-76.925476,15,https://images.compology.com/1/raw_device_data/f03b058a-5b5b-48c4-947b-992ec92e4971
universityofmaryland,2020-02-25T17:08:14.018Z,,University of Maryland,03,Denton Hall,E5RGSTA85A03,03,recycle,8,40,,,,38.992424,-76.95047,7.4,https://images.compology.com/1/raw_device_data/3514566c-0c74-4609-91cf-a4c5d73708a7
universityofmaryland,2020-02-25T17:08:59.229Z,,University of Maryland,04,Patapsco Building,TBCCR5C8TCBR,08,refuse,8,0,,,,38.976711,-76.925033,5.5,https://images.compology.com/1/raw_device_data/5b4f3137-8c99-4962-ac5c-51d5c2c3658e
universityofmaryland,2020-02-25T17:09:43.186Z,,University of Maryland,03,Denton Hall,Z1Y5KFA5H3NA,04,refuse,6,100,,,,38.992366,-76.950599,5.4,https://images.compology.com/1/raw_device_data/54c74b11-956e-4a1f-98f9-23bebf7336f4
universityofmaryland,2020-02-25T17:10:06.877Z,,University of Maryland,05,UM Technology Ventures,DM5S9RVP4WFG,09,recycle,8,55,,,,38.979415,-76.925407,7.5,https://images.compology.com/1/raw_device_data/582741dc-2c6d-4101-ac79-fc5353587e6e
universityofmaryland,2020-02-25T17:10:59.460Z,,University of Maryland,04,Patapsco Building,QK633SDAVXXC,07,recycle,8,50,,,,38.976554,-76.925453,6.5,https://images.compology.com/1/raw_device_data/1810ba14-0a17-433b-a228-dfeab8a00644
universityofmaryland,2020-02-25T17:11:42.024Z,,University of Maryland,01,Gosset Football Teamhouse,PRP9VRTJQT8V,02,refuse,6,95,,,,38.990146,-76.945701,7.1,https://images.compology.com/1/raw_device_data/21b57d77-cd32-461c-9d87-f5e1fe52b1c0
universityofmaryland,2020-02-25T17:37:31.419Z,,University of Maryland,03,Denton Hall,Z1Y5KFA5H3NA,04,refuse,6,97,f,,,38.992374,-76.950576,11,https://images.compology.com/1/raw_device_data/cd11edb4-eb4b-4a0f-86cf-b9081f3a38d9
universityofmaryland,2020-02-25T17:38:13.662Z,,University of Maryland,05,UM Technology Ventures,DM5S9RVP4WFG,09,recycle,8,60,f,,,38.979309,-76.925476,4,https://images.compology.com/1/raw_device_data/880c1c28-86f7-4543-a110-d41a43910cc7
universityofmaryland,2020-02-25T17:38:19.166Z,,University of Maryland,03,Denton Hall,E5RGSTA85A03,03,recycle,8,45,f,,,38.992424,-76.950584,17,https://images.compology.com/1/raw_device_data/d1501452-05c3-4731-9a6f-56b0a235fa9f
universityofmaryland,2020-02-25T17:38:52.728Z,,University of Maryland,05,UM Technology Ventures,7NGF1MRE6SKT,10,refuse,6,5,f,,,38.979194,-76.925674,13,https://images.compology.com/1/raw_device_data/7f295fd8-a807-4bf3-9ed7-b0e019fabc55
universityofmaryland,2020-02-25T17:40:14.085Z,,University of Maryland,01,Gosset Football Teamhouse,J6MMBE75XVYA,01,recycle,8,5,f,,,38.990127,-76.94577,4.3,https://images.compology.com/1/raw_device_data/0ba38507-530a-4f01-9001-a00afe273de0
universityofmaryland,2020-02-25T17:40:22.574Z,,University of Maryland,04,Patapsco Building,QK633SDAVXXC,07,recycle,8,45,f,,,38.976493,-76.926071,30,https://images.compology.com/1/raw_device_data/1d3bf0e9-4e91-4bce-91ea-4238dbaa7ae9
universityofmaryland,2020-02-25T17:40:29.957Z,,University of Maryland,02,Van Munching Hall,K0V7D3VHWHMN,06,refuse,6,2,f,,,38.98368,-76.947898,8.1,https://images.compology.com/1/raw_device_data/7e344da3-857f-4408-acd1-24dec41343d7
universityofmaryland,2020-02-25T17:40:58.725Z,,University of Maryland,04,Patapsco Building,TBCCR5C8TCBR,08,refuse,8,0,f,,,38.976505,-76.925323,8.5,https://images.compology.com/1/raw_device_data/819c5199-2a99-4077-8118-a98d9a06584f
universityofmaryland,2020-02-25T17:41:44.179Z,,University of Maryland,01,Gosset Football Teamhouse,PRP9VRTJQT8V,02,refuse,6,90,f,,,38.990081,-76.945831,6.8,https://images.compology.com/1/raw_device_data/f6287ac6-ddbc-457e-b963-66b10a6dd1ba
universityofmaryland,2020-02-26T00:55:57.837Z,,University of Maryland,02,Van Munching Hall,K0V7D3VHWHMN,06,refuse,6,12,f,,,38.983779,-76.947708,23,https://images.compology.com/1/raw_device_data/8e562355-b6b2-4f34-a72d-dc272acb98f9
universityofmaryland,2020-02-26T00:58:13.839Z,,University of Maryland,05,UM Technology Ventures,DM5S9RVP4WFG,09,recycle,8,55,f,,,38.97929,-76.925506,8.8,https://images.compology.com/1/raw_device_data/05056425-33fe-4861-883e-b7f12a969b73
universityofmaryland,2020-02-26T00:58:33.172Z,,University of Maryland,04,Patapsco Building,TBCCR5C8TCBR,08,refuse,8,5,f,,,38.976619,-76.925216,7,https://images.compology.com/1/raw_device_data/34f8b521-89fc-4d9f-8f75-9f923368cd4e
universityofmaryland,2020-02-26T00:58:41.625Z,,University of Maryland,04,Patapsco Building,QK633SDAVXXC,07,recycle,8,42,f,,,38.976642,-76.925056,30,https://images.compology.com/1/raw_device_data/ff907343-e4dc-4895-9534-937c9f2fd544
universityofmaryland,2020-02-26T00:59:27.720Z,,University of Maryland,01,Gosset Football Teamhouse,PRP9VRTJQT8V,02,refuse,6,95,f,,,38.990131,-76.94577,5.5,https://images.compology.com/1/raw_device_data/985ffb94-d196-4c02-a9cd-f1ee2e0b6932
universityofmaryland,2020-02-26T00:59:46.607Z,,University of Maryland,03,Denton Hall,E5RGSTA85A03,03,recycle,8,45,f,,,38.992435,-76.950714,17,https://images.compology.com/1/raw_device_data/36b68116-6b5c-4164-add1-a87eb0265df7
universityofmaryland,2020-02-26T00:59:50.292Z,,University of Maryland,03,Denton Hall,Z1Y5KFA5H3NA,04,refuse,6,90,f,,,38.992378,-76.950477,14,https://images.compology.com/1/raw_device_data/e6ba0dcd-1ddc-4d6b-9653-9a547ef0edc9
universityofmaryland,2020-02-26T00:59:59.976Z,,University of Maryland,05,UM Technology Ventures,7NGF1MRE6SKT,10,refuse,6,5,f,,,38.979267,-76.925376,20,https://images.compology.com/1/raw_device_data/4f2f1150-8eb2-4719-906f-c8317e84273f
universityofmaryland,2020-02-26T01:00:28.216Z,,University of Maryland,01,Gosset Football Teamhouse,J6MMBE75XVYA,01,recycle,8,5,f,,,38.990047,-76.9458,5.9,https://images.compology.com/1/raw_device_data/d20cfaa1-3dda-4f6f-92f8-c5b39961259e
universityofmaryland,2020-02-26T02:22:51.633Z,,University of Maryland,02,Van Munching Hall,D7CA3VQWCBEG,05,recycle,6,45,,,,38.983566,-76.947639,5.5,https://images.compology.com/1/raw_device_data/d89298de-2905-4dbd-875c-9e83ae738030
universityofmaryland,2020-02-26T05:55:42.212Z,,University of Maryland,05,UM Technology Ventures,DM5S9RVP4WFG,09,recycle,8,55,f,,,38.979278,-76.925514,12,https://images.compology.com/1/raw_device_data/673b0e80-066e-4f0e-a101-5eafbc42e70f
universityofmaryland,2020-02-26T05:56:33.453Z,,University of Maryland,04,Patapsco Building,QK633SDAVXXC,07,recycle,8,45,f,,,38.976665,-76.925178,12,https://images.compology.com/1/raw_device_data/b056474c-4b3f-4420-a342-237ffdc4e1e2
universityofmaryland,2020-02-26T05:57:49.061Z,,University of Maryland,04,Patapsco Building,TBCCR5C8TCBR,08,refuse,8,5,f,,,38.976516,-76.925247,11,https://images.compology.com/1/raw_device_data/532932e0-a1df-40a5-9157-6bd5c73e2606
universityofmaryland,2020-02-26T06:00:22.389Z,,University of Maryland,02,Van Munching Hall,K0V7D3VHWHMN,06,refuse,6,10,f,,,38.983707,-76.9477,23,https://images.compology.com/1/raw_device_data/f914298a-98cb-4ef6-b4be-67fab17fbcb4
universityofmaryland,2020-02-26T06:06:26.187Z,,University of Maryland,05,UM Technology Ventures,DM5S9RVP4WFG,09,recycle,8,55,f,,,38.979297,-76.925445,10,https://images.compology.com/1/raw_device_data/3c756f54-e3c9-4763-8656-502367cc1645
universityofmaryland,2020-02-26T06:06:54.701Z,,University of Maryland,03,Denton Hall,E5RGSTA85A03,03,recycle,8,45,f,,,38.992515,-76.950538,29,https://images.compology.com/1/raw_device_data/ee3c60d9-6d8d-45a4-93ab-2ff39257952b
universityofmaryland,2020-02-26T06:06:56.935Z,,University of Maryland,02,Van Munching Hall,D7CA3VQWCBEG,05,recycle,6,45,f,,,38.983562,-76.947876,30,https://images.compology.com/1/raw_device_data/6c463361-2b9a-4fdd-bf6e-5296b02fa345
universityofmaryland,2020-02-26T06:06:58.908Z,,University of Maryland,03,Denton Hall,Z1Y5KFA5H3NA,04,refuse,6,90,f,,,38.992488,-76.950798,21,https://images.compology.com/1/raw_device_data/9b899cb6-8a7f-4335-af4b-3e8a76a16b5a
universityofmaryland,2020-02-26T06:08:46.108Z,,University of Maryland,05,UM Technology Ventures,7NGF1MRE6SKT,10,refuse,6,5,f,,,38.97919,-76.925636,19,https://images.compology.com/1/raw_device_data/c139c6e7-860f-41c0-847c-8e7eca179ec6
universityofmaryland,2020-02-26T06:08:46.423Z,,University of Maryland,01,Gosset Football Teamhouse,PRP9VRTJQT8V,02,refuse,6,95,f,,,38.990123,-76.945762,7.1,https://images.compology.com/1/raw_device_data/590c17f9-7640-436f-a762-f60c1804d21f
universityofmaryland,2020-02-26T06:09:41.013Z,,University of Maryland,01,Gosset Football Teamhouse,J6MMBE75XVYA,01,recycle,8,5,f,,,38.990203,-76.94577,6,https://images.compology.com/1/raw_device_data/de5403b2-3de3-4e60-b9f9-e7f690af7391
universityofmaryland,2020-02-26T06:10:09.270Z,,University of Maryland,04,Patapsco Building,TBCCR5C8TCBR,08,refuse,8,5,f,,,38.976299,-76.925529,4.9,https://images.compology.com/1/raw_device_data/7d0a64f8-480b-4e62-8adc-a95c4bb173f5
universityofmaryland,2020-02-26T07:08:53.586Z,,University of Maryland,04,Patapsco Building,QK633SDAVXXC,07,recycle,8,45,f,,,38.976688,-76.925285,22,https://images.compology.com/1/raw_device_data/903fec26-f084-4029-966b-d302a6b1fd9e
universityofmaryland,2020-02-26T09:44:19.638Z,,University of Maryland,01,Gosset Football Teamhouse,J6MMBE75XVYA,01,recycle,8,0,t,2020-02-26T09:44:19.000Z,5,38.990211,-76.945747,6.1,https://images.compology.com/1/raw_device_data/debf14c9-4b37-4f78-958a-924c4a832a7c
universityofmaryland,2020-02-26T09:46:28.613Z,,University of Maryland,03,Denton Hall,E5RGSTA85A03,03,recycle,8,0,t,2020-02-26T09:46:28.000Z,45,38.992309,-76.950607,13,https://images.compology.com/1/raw_device_data/a7da26d5-231c-43b1-9921-503e4fe112b0
universityofmaryland,2020-02-26T11:59:46.434Z,,University of Maryland,02,Van Munching Hall,K0V7D3VHWHMN,06,refuse,6,0,t,2020-02-26T11:59:46.000Z,10,38.983627,-76.94812,23,https://images.compology.com/1/raw_device_data/3ab1424c-79e7-4c4d-997d-97251c3a3c94
universityofmaryland,2020-02-26T12:24:32.676Z,,University of Maryland,02,Van Munching Hall,D7CA3VQWCBEG,05,recycle,6,5,t,2020-02-26T09:15:44.000Z,45,38.98357,-76.947723,6.8,https://images.compology.com/1/raw_device_data/bf829a99-51e4-409c-b83d-286ea752dd40
universityofmaryland,2020-02-26T13:41:51.501Z,,University of Maryland,03,Denton Hall,Z1Y5KFA5H3NA,04,refuse,6,10,t,2020-02-26T13:41:51.000Z,90,38.99242,-76.950721,10,https://images.compology.com/1/raw_device_data/3087f0ac-a783-4244-ab0a-47b19b6dd1f5
universityofmaryland,2020-02-26T14:13:50.156Z,,University of Maryland,05,UM Technology Ventures,DM5S9RVP4WFG,09,recycle,8,0,t,2020-02-26T14:13:50.000Z,55,38.979347,-76.925437,6.5,https://images.compology.com/1/raw_device_data/ce323bf8-eb2c-4950-8011-bbfc3cf246e5
universityofmaryland,2020-02-26T14:16:32.651Z,,University of Maryland,04,Patapsco Building,QK633SDAVXXC,07,recycle,8,0,t,2020-02-26T14:16:32.000Z,45,38.976558,-76.925277,12,https://images.compology.com/1/raw_device_data/0e9b5979-b64c-4081-992c-6eabb954b158
universityofmaryland,2020-02-26T14:35:24.466Z,,University of Maryland,01,Gosset Football Teamhouse,PRP9VRTJQT8V,02,refuse,6,1,t,2020-02-26T10:22:05.000Z,95,38.990181,-76.945739,8.1,https://images.compology.com/1/raw_device_data/30b6e5fe-dbbf-4433-a05f-06c2ad40ba4a
universityofmaryland,2020-02-26T17:36:12.867Z,,University of Maryland,05,UM Technology Ventures,7NGF1MRE6SKT,10,refuse,6,27,f,,,38.97924,-76.925605,22,https://images.compology.com/1/raw_device_data/a3fb4435-4cc9-469d-ad97-40db9226832b
universityofmaryland,2020-02-26T17:36:27.058Z,,University of Maryland,01,Gosset Football Teamhouse,PRP9VRTJQT8V,02,refuse,6,5,f,,,38.990154,-76.945785,9.1,https://images.compology.com/1/raw_device_data/5708f0be-bf09-494a-a18b-5c40d0bc424f
universityofmaryland,2020-02-26T17:36:31.114Z,,University of Maryland,04,Patapsco Building,QK633SDAVXXC,07,recycle,8,0,f,,,38.976402,-76.925422,30,https://images.compology.com/1/raw_device_data/48711ab6-045e-4abc-ba5e-db5e7584bf92
universityofmaryland,2020-02-26T17:36:55.400Z,,University of Maryland,03,Denton Hall,E5RGSTA85A03,03,recycle,8,10,f,,,38.992378,-76.950416,21,https://images.compology.com/1/raw_device_data/65a090ba-36f7-4cf3-b5ad-859d745005f7
